compound;comp_lemma;const_1_text;const_2_text;const_3_text;const_1_lemma;const_2_lemma;const_3_lemma;gold_branching;language;register;semRel1;semRel2
Magnetresonanztomographie;_;Magnet;resonanz;tomographie;Magnet;Resonanz;Tomographie;AB;GER;scientific;semRel=HcausedbyM;semRel=HusesM
Positronenemissionstomographie;_;Positronen;emissions;tomographie;Positron;Emission;Tomographie;AB;GER;scientific;semRel=HbyM;semRel=HusesM
East-West negotiations;_;East;West;negotiations;east;west;negotiation;BC;EN;general;semRel:HderivedfromM;semRel:HderivedfromM
weapons modernisation programmes;weapon modernisation programme;weapons;modernisation;programmes;weapon;modernisation;programme;AB;EN;general;semRel:HforM;semRel:HforM
State Department spokesmen;State Department spokesmen;State;Department;spokesmen;State;Department;spokesmen;AB;EN;general;semRel:HforM;semRel:HforM
metal ballot boxes;metal ballot box;metal;ballot;boxes;metal;ballot;box;BC;EN;general;semRel:HmadeofM;semRel:HforM
World Food Programme;World Food Programme;World;Food;Programme;World;Food;Programme;AB;EN;general;semRel:HforM;semRel:HaboutM
emergency food aid;emergency food aid;emergency;food;aid;emergency;food;aid;BC;EN;general;semRel:HduringM;semRel:HbyM
Stalin-Hitler pact;_;Stalin;Hitler;pact;Stalin;Hitler;pact;BC;EN;general;semRel:HmadebyM;semRel:HmadebyM
headquarters .;_;head;quarters;.;head;quarter;.;AB;EN;general;semRel:HhasM;_
Warsaw Pact countries;Warsaw Pact country;Warsaw;Pact;countries;Warsaw;Pact;country;AB;EN;general;semRel:HlocationisM|_;semRel:HmakesM|_
police murder unit;police murder unit;police;murder;unit;police;murder;unit;AB;EN;general;semRel:HbyM|_;semRel:HforM|_
human rights lawyer;human right lawyer;human;rights;lawyer;human;right;lawyer;AB;EN;general;semRel:HforM|_;semRel:HforM|_
Tiananmen Square massacre;Tiananmen Square massacre;Tiananmen;Square;massacre;Tiananmen;Square;massacre;AB;EN;general;semRel:HlocationisM;semRel:HlocationisM
East-West relations;_;East;West;relations;east;west;relation;BC;EN;general;semRel:HderivedfromM;semRel:HderivedfromM
trade magazine journalist;trade magazine journalist;trade;magazine;journalist;trade;magazine;journalist;AB;EN;general;semRel:HaboutM;semRel:HforM
treaty revision conference;treaty revision conference;treaty;revision;conference;treaty;revision;conference;AB;EN;general;semRel:HforM;semRel:HforM
exchange rate regime;exchange rate regime;exchange;rate;regime;exchange;rate;regime;AB;EN;general;semRel:MhasH;semRel:HforM
Tanjug news agency;Tanjug news agency;Tanjug;news;agency;Tanjug;news;agency;BC;EN;general;semRel:HlocationisM;semRel:HforM
Congress Party government;Congress Party government;Congress;Party;government;Congress;Party;government;AB;EN;general;semRel:HisM;semRel:MhasH
police security guards;police security guard;police;security;guards;police;security;guard;BC;EN;general;semRel:HisM;semRel:HforM
leg length differences;leg length difference;leg;length;differences;leg;length;difference;AB;EN;scientific;semRel:MhasH;semRel:HderivedfromM
knee joint effusion;knee joint effusion;knee;joint;effusion;knee;joint;effusion;AB;EN;scientific;semRel:MhasH;semRel:HlocationisM
bucket- handle tears;bucket- handle tear;bucket-;handle;tears;bucket-;handle;tear;AB;EN;scientific;semRel:MhasH|SpaceAfter=No;semRel:HderivedfromM|SpaceAfter=No
bucket- handle resections;bucket- handle resection;bucket-;handle;resections;bucket-;handle;resection;AB;EN;scientific;semRel:MhasH|SpaceAfter=No;semRel:HlocationisM|SpaceAfter=No
suture fixation technique;suture fixation technique;suture;fixation;technique;suture;fixation;technique;AB;EN;scientific;semRel:HbyM;semRel:HusesM
graft fixation techniques;graft fixation technique;graft;fixation;techniques;graft;fixation;technique;AB;EN;scientific;semRel:HusesM;semRel:HusesM
windshield- wiper motion;windshield- wiper motion;windshield-;wiper;motion;windshield-;wiper;motion;AB;EN;scientific;semRel:HforM|SpaceAfter=No;semRel:HisM|SpaceAfter=No
windshield- wiper effect;windshield- wiper effect;windshield-;wiper;effect;windshield-;wiper;effect;AB;EN;scientific;semRel:HforM|SpaceAfter=No;semRel:HderivedfromM|SpaceAfter=No
Sports Surgery Department;Sports surgery Department;Sports;Surgery;Department;Sports;surgery;Department;AB;EN;scientific;semRel:HderivedfromM;semRel:HforM
bucket- handle type;bucket- handle type;bucket-;handle;type;bucket-;handle;type;AB;EN;scientific;semRel:MhasH|SpaceAfter=No;semRel:HderivedfromM|SpaceAfter=No
crisis management operations;crisis management operation;crisis;management;operations;crisis;management;operation;AB;EN;general;semRel:HduringM;semRel:MforH
Moscow party leader;Moscow party leader;Moscow;party;leader;Moscow;party;leader;BC;EN;general;semRel:MhasH;semRel:MhasH
Leningrad party boss;Leningrad party boss;Leningrad;party;boss;Leningrad;party;boss;BC;EN;general;semRel:MhasH;semRel:MhasH
Moscow party leader;Moscow party leader;Moscow;party;leader;Moscow;party;leader;BC;EN;general;semRel:MhasH;semRel:MhasH
State Planning Commission;State Planning Commission;State;Planning;Commission;State;Planning;Commission;BC;EN;general;semRel:MhasH;semRel:HforM
Cambridge University Press;Cambridge University Press;Cambridge;University;Press;Cambridge;University;Press;AB;EN;general;semRel:HisM;semRel:MhasH
Air Force Colonel;Air Force Colonel;Air;Force;Colonel;Air;Force;Colonel;AB;EN;general;semRel:MforH;semRel:MhasH
space shuttle mission;space shuttle mission;space;shuttle;mission;space;shuttle;mission;AB;EN;general;semRel:HforM;semRel:HusesM
Warsaw Pact countries;Warsaw Pact country;Warsaw;Pact;countries;Warsaw;Pact;country;AB;EN;general;semRel:HlocationisM;semRel:HmakesM
Stroke Unit concept;stroke unit concept;Stroke;Unit;concept;stroke;unit;concept;AB;EN;scientific;semRel:HforM;semRel:HisM
bedside monitors;_;bed;side;monitors;bed;side;monitor;AB;EN;scientific;semRel:MhasH;semRel:HlocationisM
Stroke Unit treatment;stroke unit treatment;Stroke;Unit;treatment;stroke;unit;treatment;AB;EN;scientific;semRel:HforM;semRel:HlocationisM
psychotherapy research conditions;psychotherapy research condition;psychotherapy;research;conditions;psychotherapy;research;condition;AB;EN;scientific;semRel:HaboutM;semRel:HduringM
choroid plexus papilloma;choroid plexus papilloma;choroid;plexus;papilloma;choroid;plexus;papilloma;AB;EN;scientific;semRel:HderivedfromM;semRel:HlocationisM
brainstem lesion;_;brain;stem;lesion;brain;stem;lesion;AB;EN;scientific;semRel:MhasH;semRel:HlocationisM
membrane phospholipid hypotheses;membrane phospholipid hypothese;membrane;phospholipid;hypotheses;membrane;phospholipid;hypothese;AB;EN;scientific;semRel:MhasH;semRel:HaboutM
handwriting area;_;hand;writing;area;hand;writing;area;AB;EN;scientific;semRel:HbyM;semRel:HforM
dopamine receptor occupancy;dopamine receptor occupancy;dopamine;receptor;occupancy;dopamine;receptor;occupancy;AB;EN;scientific;semRel:HforM;semRel:HbyM
lifetime -;_;life;time;-;life;time;-;AB;EN;scientific;semRel:HderivedfromM;semRel:HduringM
tyrosine hydroxylase genes;tyrosine hydroxylase gene;tyrosine;hydroxylase;genes;tyrosine;hydroxylase;gene;AB;EN;scientific;semRel:HforM;semRel:HmakesM
health care system;health care system;health;care;system;health;care;system;AB;EN;scientific;semRel:HforM;semRel:HforM
health care providers;health care provider;health;care;providers;health;care;provider;AB;EN;scientific;semRel:HforM;semRel:HforM
thyroid laboratory parameters;thyroid laboratory parameter;thyroid;laboratory;parameters;thyroid;laboratory;parameter;AB;EN;scientific;semRel:HderivedfromM;semRel:HderivedfromM
alcohol- dependence syndrome;alcohol- dependence syndrome;alcohol-;dependence;syndrome;alcohol-;dependence;syndrome;AB;EN;scientific;semRel:HderivedfromM|SpaceAfter=No;semRel:HisM|SpaceAfter=No
addiction research unit;addiction research unit;addiction;research;unit;addiction;research;unit;AB;EN;scientific;semRel:HaboutM;semRel:HforM
alcohol- dependence syndrome;alcohol- dependence syndrome;alcohol-;dependence;syndrome;alcohol-;dependence;syndrome;AB;EN;scientific;semRel:HderivedfromM|SpaceAfter=No;semRel:HisM|SpaceAfter=No
androgen receptor gene;androgen receptor gene;androgen;receptor;gene;androgen;receptor;gene;AB;EN;scientific;semRel:HforM;semRel:HforM
Nerve conduction studies;Nerve conduction study;Nerve;conduction;studies;Nerve;conduction;study;AB;EN;scientific;semRel:HbyM;semRel:HaboutM
blood brain barrier;blood brain barrier;blood;brain;barrier;blood;brain;barrier;AB;EN;scientific;semRel:MlocationsisH;semRel:MhasH
stroke unit care;stroke unit care;stroke;unit;care;stroke;unit;care;AB;EN;scientific;semRel:HforM;semRel:HbyM
stroke unit treatment;stroke unit treatment;stroke;unit;treatment;stroke;unit;treatment;AB;EN;scientific;semRel:HforM;semRel:HbyM
blood flow velocities;blood flow velocity;blood;flow;velocities;blood;flow;velocity;AB;EN;scientific;semRel:MhasH;semRel:HderivedfromM
blood pressure changes;blood pressure change;blood;pressure;changes;blood;pressure;change;AB;EN;scientific;semRel:MhasH;semRel:MhasH
stroke unit care;stroke unit care;stroke;unit;care;stroke;unit;care;AB;EN;scientific;semRel:HforM;semRel:HbyM
day- care centers;day- care center;day-;care;centers;day-;care;center;AB;EN;scientific;semRel:HduringM|SpaceAfter=No;semRel:HforM|SpaceAfter=No
health care institutions;health care institution;health;care;institutions;health;care;institution;AB;EN;scientific;semRel:HforM;semRel:HforM
hospital order institution;hospital order institution;hospital;order;institution;hospital;order;institution;AB;EN;scientific;semRel:HforM;semRel:HforM
anxiety- elation psychosis;anxiety- elation psychosis;anxiety-;elation;psychosis;anxiety-;elation;psychosis;BC;EN;scientific;semRel:HderivedfromM|SpaceAfter=No;semRel:HderivedfromM
riot squad officers;riot squad officer;riot;squad;officers;riot;squad;officer;AB;EN;general;semRel:HforM|_;semRel:MhasH|_
police trade union;police trade union;police;trade;union;police;trade;union;BC;EN;general;semRel:MhasH|_;semRel:HforM|_
plainclothes police presence;plainclothe police presence;plainclothes;police;presence;plainclothe;police;presence;AB;EN;general;semRel:HhasM|_;semRel:HmadeofM|_
student democracy movement;student democracy movement;student;democracy;movement;student;democracy;movement;BC;EN;general;semRel:HbyM|_;semRel:HforM|_
Tibet Information Network;Tibet Information Network;Tibet;Information;Network;Tibet;Information;Network;AB;EN;general;semRel:HaboutM|_;semRel:HforM|_
Nobel Peace Prize;Nobel Peace Prize;Nobel;Peace;Prize;Nobel;Peace;Prize;BC;EN;general;semRel:HbyM|_;semRel:HforM|_
Tehran embassy siege;Tehran embassy siege;Tehran;embassy;siege;Tehran;embassy;siege;AB;EN;general;semRel:HlocationisM|_;semRel:HlocationisM|_
air defence weapons;air defence weapon;air;defence;weapons;air;defence;weapon;AB;EN;general;semRel:HforM|_;semRel:HforM|_
trade union leaders;trade union leader;trade;union;leaders;trade;union;leader;AB;EN;general;semRel:HforM|_;semRel:MhasH|_
intifada protest songs;intifada protest song;intifada;protest;songs;intifada;protest;song;BC;EN;general;semRel:HaboutM|_;semRel:HaboutM|_
Citizens Rights Movement;citizen Right Movement;Citizens;Rights;Movement;citizen;Right;Movement;AB;EN;general;semRel:HforM|_;semRel:HforM|_
Miami race trial;Miami race trial;Miami;race;trial;Miami;race;trial;AB;EN;general;semRel:HlocationisM|_;semRel:HaboutM|_
Lahore business man;Lahore business man;Lahore;business;man;Lahore;business;man;BC;EN;general;semRel:MhasH|_;semRel:HhasM|_
emergency integration measures;emergency integration measure;emergency;integration;measures;emergency;integration;measure;BC;EN;general;semRel:HduringM|_;semRel:HforM|_
arms control agreements;arm control agreement;arms;control;agreements;arm;control;agreement;AB;EN;general;semRel:HforM|_;semRel:HaboutM|_
space arms issues;space arm issue;space;arms;issues;space;arm;issue;BC;EN;general;semRel:HaboutM|_;semRel:HaboutM|_
home affairs job;home affair job;home;affairs;job;home;affair;job;AB;EN;general;semRel:HaboutM|_;semRel:HaboutM|_
home affairs minister;home affair minister;home;affairs;minister;home;affair;minister;AB;EN;general;semRel:HaboutM|_;semRel:HforM|_
satellite television channels;satellite television channel;satellite;television;channels;satellite;television;channel;AB;EN;general;semRel:HbyM|_;semRel:MhasH|_
dance music favourites;dance music favourite;dance;music;favourites;dance;music;favourite;BC;EN;general;semRel:HforM|_;semRel:HaboutM|_
police trade union;police trade union;police;trade;union;police;trade;union;BC;EN;general;semRel:MhasH|_;semRel:HforM|_
Tibet Information Network;Tibet Information Network;Tibet;Information;Network;Tibet;Information;Network;AB;EN;general;semRel:HaboutM|_;semRel:HforM|_
Tibet Information Network;Tibet Information Network;Tibet;Information;Network;Tibet;Information;Network;AB;EN;general;semRel:HaboutM|_;semRel:HforM|_
Nobel Peace Prize;Nobel Peace Prize;Nobel;Peace;Prize;Nobel;Peace;Prize;BC;EN;general;semRel:HderivedfromM|_;semRel:HforM|_
Tehran embassy siege;Tehran embassy siege;Tehran;embassy;siege;Tehran;embassy;siege;AB;EN;general;semRel:HlocationisM|_;semRel:HlocationisM|_
intifada protest songs;intifada protest song;intifada;protest;songs;intifada;protest;song;AB;EN;general;semRel:HaboutM|_;semRel:HaboutM|_
Citizens Rights Movement;citizen Right Movement;Citizens;Rights;Movement;citizen;Right;Movement;AB;EN;general;semRel:HforM|_;semRel:HforM|_
Miami race trial;Miami race trial;Miami;race;trial;Miami;race;trial;BC;EN;general;semRel:HlocationisM|_;semRel:HaboutM|_
dance music favourites;dance music favourite;dance;music;favourites;dance;music;favourite;AB;EN;general;semRel:HforM|_;semRel:MhasH|_
Troop pullout plan;troop pullout plan;Troop;pullout;plan;troop;pullout;plan;AB;EN;general;semRel:MhasH|_;semRel:HforM|_
Sandinista campaign slogan;Sandinista campaign slogan;Sandinista;campaign;slogan;Sandinista;campaign;slogan;AB;EN;general;semRel:HbyM;semRel:MhasH
Somoza-era hangovers;_;Somoza;era;hangovers;somoza;era;hangover;AB;EN;general;semRel:HderivedfromM;semRel:HcausedbyM
